Q#,Subject,Section,Complexity,Question,Answer,Answer Choice Label,A,B,C,D,Marks,Time Given
1,Systems,Systems,Medium,"When we run the below function on a single core machine - #include <stdbool.h>  int main() { while (true); return 0; } Which of the following is an incorrect consequence","The System will be unresponsive because of the minimal while True statement and system being a single core, CPU will be stuck in the execution loop of while True.",B,The CPU will context switch to this process once the process is initiated.,"The System will be unresponsive because of the minimal while True statement and system being a single core, CPU will be stuck in the execution loop of while True.","The above program will continue to run on the system forever, until manually stopped.",The program will not crash,3,3 Mins
2,Systems,Systems,Medium,"Suppose an Aeroplane has two engines. Both the engines are working independently with each engine working probability of 99.99%. What is the probability that the Aeroplane has at least one working engine?",99.999999%,C,0.9999,99.9999%,99.999999%,99.99999999%,3,3 Mins
3,Systems,Systems,Medium,How are indexes saved in the databases?,It is saved in the disk in the similar way tables are saved but with different data structures.,D,They make the tree during the execution of the query.,They maintain a tree structure from the start.,They are saved along with the table data in the form of rows.,It is saved in the disk in the similar way tables are saved but with different data structures.,3,3 Mins
4,Systems,Systems,Medium,"Say a client sees a Connection Error while connecting to a database, which of the following cannot be the reason?",Some database indexes are corrupted at the Database server.,C,Client has exhausted its number of ports.,Server has reached the limit of the number of Connections it can create.,Some database indexes are corrupted at the Database server.,Some Network firewalls are blocking the request.,3,3 Mins
5,Systems,Systems,Medium,"A system which uses the Least Recently Used (LRU) page replacement policy with size 3. The OS uses LRU page replacement policy. If the page reference string is `1, 2, 3, 4, 2, 3, 5, 2, 3, 4, 5`, how many page faults will occur? Assume that the LRU cache is initially empty",7,A,7,8,9,10,3,3 Mins
6,Systems,Systems,Medium,"A web server handles 200 requests per second (RPS) using a single core with 50% CPU utilization. If the workload increases to 300 RPS, what will be the estimated CPU utilization?",0.75,B,0.5,0.75,0.8,0.9,3,3 Mins
7,Systems,Systems,Medium,"In a system with 5 nodes(identical servers), during the election: Node A votes for itself. Node B votes for itself. Node C votes for Node D. Node D votes for Node A. Node E votes for Node B. Which of the following is the most likely outcome? a. Node A will be elected as the leader because it got more votes than any other node. b. The system will fail to elect a leader since no node received enough votes. c. Node B will be elected as the leader since it also received a vote from Node E. d. The system will automatically retry the election process until a majority is reached.","b,d",A,"b,d","b,c","a,c","a,c,d",3,3 Mins
8,Mathematics,Maths_1,Hard,"Five pirates have found a treasure chest containing 20 gold coins. The pirates decide to distribute the coins as follows: The first pirate demands at least 3 coins. The second pirate demands at least 5 coins. The third, fourth, and fifth pirates can receive any number of coins (including zero), but all three pirates must get same number of coins. How many distinct ways can the gold coins be distributed among the five pirates?",35,C,30,40,35,28,5,5 Mins
9,Mathematics,Maths_2,Easy,Four married couples are seated around a circular table. Male & Female are seated in alternate chairs. In how many ways can they be seated if no wife is allowed to sit next to her husband?,12,D,10,6,8,12,3,3 Mins
10,Physics,Physics,Hard,"A m = 2 kg block is initially at rest at the top of a frictionless inclined plane of mass M = 10 kg where the length of the inclination is l1+l2 = 5 m & angle of inclination is θ = 30 degrees with the horizontal. The block slides down the incline and reaches the bottom, where it compresses a spring of length l1 = 1 m (with a spring constant k1 = 200 N/m) that is placed at the base of the incline along the inclined plane. The wedge is on a frictionless surface. Calculate the maximum displacement of the inclined plane?(g = 10 m/s^2)","0.68 m",A,"0.68 m","0.95 m","0.53 m",0.48 m,7,7 Mins
11,Physics,Physics,Medium,"Two Cars are traveling towards each other v1 = 20m/s, v2 = 10m/s. They are l = 200 m apart when they start. At the same time, a bird sitting on top of a car with velocity v1 is flying at velocity v3 = 30m/s to another car and coming back till the car collides. What is the displacement of the bird from the start of the flying?",133.3 m,B,"6.6 m",133.3 m,120.5 m,147.3 m,3,3 Mins
12,Computer Science,CS1,Medium,Let us say we have a linked list (with pointer to only start element) & dynamic array whose size can change at runtime (implemented exactly like vectors). Which of the following operations will take different amortized(average) time complexity to execute?,Deleting an element from the end of both data structures,D,Deleting an element at the middle of both data structures,Adding an element at the middle of both data structures,Finding an element from the beginning of both data structures,Deleting an element from the end of both data structures,3,3 Mins
13,Computer Science,CS2,Medium,"What all use cases best fit stack data structure? a. To store least recently used memory address b. For checking the correctness of a balanced parentheses c. To keep a track of local variables during runtime d. To transfer data between two asynchronous process","b,c",B,"a,b,c","b,c","c,d","a,d",3,3 Mins
14,Computer Science,CS3,Medium,"You have a linked list of employee records that you need to sort by their salaries. Given that linked lists are not as efficient for random access as arrays, which sorting algorithm would you prefer to use for optimal performance in this scenario?",Merge Sort,B,Quick Sort,Merge Sort,Bubble Sort,Heap Sort,3,3 Mins
15,Computer Science,CS4,Medium,"In the coin change problem(where you have to make an amount of money using min number of denominations) for denominations = [1, 2, 4, 8], why does a greedy algorithm work for finding the minimum number of coins?",The denominations are multiples of each other,C,The denominations are powers of 2,The largest denomination always leads to the optimal solution,The denominations are multiples of each other,The problem will not get solved using greedy algorithms,3,3 Mins
16,Computer Science,CS5,Medium,"You are implementing Depth-First Search (DFS) on a graph using adjacency lists. Which code segment correctly completes the DFS function? void DFS(int v, vector<bool>& visited, vector<int> adj[]) { visited[v] = true; for (int i = 0; i < adj[v].size(); i++) { if (____________) DFS(adj[v][i], visited, adj); } } ",visited[adj[v][i]] == false,B,!visited[i],visited[adj[v][i]] == false,visited[adj[i][v]] == false,adj[v][i] == visited,3,3 Mins
