Q#,Subject,Section,Complexity,Question,Answer,Answer Choice Label,A,B,C,D,Marks,Time Given
1,Systems,Systems,Medium,"If an api does 2ms of compute and 1ms of IO per call. How much max rps/core can we achieve? Assume multiple clients are there, sending requests in parallel.(rps means request per second)",500 rps,A,500 rps,33 rps,333 rps,50 rps,3,3 Mins
2,Systems,Systems,Medium,If an api takes 10ms compute and 10 ms IO per call. How much max rps/core can we achieve? Assume only a single client is sending requests sequentially. (rps means request per second,50 rps,B,20 rps,50 rps,500 rps,100 rps,3,3 Mins
3,Systems,Systems,Medium,How do you think the system finds the operating system which has to be loaded?,By using pre-configured information from the bootloader,A,By using pre-configured information from the bootloader,By scanning every storage device for operating system files,By asking the user which operating system to load,By storing the OS location on a predefined location in the CPU,3,3 Mins
4,Systems,Systems,Medium,A banking system experiences occasional duplicate transactions because user may accidently click the button twice. What is the most likely cause of this issue?,Lack of idempotency in transaction processing,B,Insufficient server bandwidth,Lack of idempotency in transaction processing,Lack of Atomicity in transaction processing,Overload of the central server,3,3 Mins
5,Systems,Systems,Medium,In the following code: int a = 0; int ret = fork(); if (ret == 0) { a = 1; } printf(\%d\\n\", a); What will be the output?",C,Only 0,Only 1,Both 0 and 1 in any order,Undefined behavior,3,3 Mins
6,Systems,Systems,Medium,"A CPU's clock speed is 3GHz and is running an instruction which requires 250 CPU cycles to complete, how many times can the CPU execute this instruction in 1s? (K = 1000 and M = 10,00,000)",12M  times,B,120K times,12M  times,120M times,12B times,3,3 Mins
7,Systems,Systems,Medium,"If a CPU can do an operation at the rate of 1GHz (Giga = 10^9) which humans do in 1 second, how big (approximately) is a human second in terms of CPU time?",32 years,C,32 seconds,32 days,32 years,32 million years,3,3 Mins
8,Mathematics,Maths_1,Hard,"When 14 friends are arranged anywhere inside or along the edge of a circle with a radius of 1 unit, how many distinct pairs of friends will be assured to be within a distance of less than 1 unit from each other? (They can overlap on each other)",Atleast 8,C,Atleast 6,Atleast 7,Atleast 8,Atleast 9,5,5 Mins
9,Mathematics,Maths_2,Easy,"In a survey conducted among 150 employees, 60 are skilled in Java, 50 in Python, and 40 in C++. Additionally, 20 employees are skilled in both Java and Python, 10 in both Python and C++, and 15 in both Java and C++. 5 employees are skilled in all three languages. How many employees are skilled in none of the programming language?",40,B,50,40,45,30,3,3 Mins
10,Physics,Physics,Hard,"A tank has water filled in it and kept on a frictionless surface. How much time does it take to empty it? The Tank is cylindrical of height h = 10 m and diameter d = 20 cm. What is the velocity of the tank when all water has come out? There is a hole of diameter 2 cm. Density of liquid = 1 Kg/m^3, g = 10 m/s^2 , Mass of tank = π/100 kg",30.15 m/s,A,30.15 m/s,28.23 m/s,33.34 m/s,41.21 m/s,7,7 Mins
11,Physics,Physics,Medium,"A bullet of mass m2 is fired into a Larger Cubic box of mass m1 = m2 with a velocity of v = 10 m/s such that the hole through which it is fired quickly closes after the bullet enters the hallow box, consider this as initial time, t = 0 sec. The Cubic box is sitting on a frictionless surface and no gravitation. The length of the box is 5 m. What will be the displacement of the center of the box after time t = 1.7 sec.",7 m,D,17 m,8.5 m,5 m,7 m,3,3 Mins
12,Computer Science,CS1,Medium,There is a M array tree which is completely balanced(all interior nodes have m children and all leaves have the same depth) with a total N number of nodes. What will be the count of leaf nodes?,(N*M-N+1)/M,C,(N+1)/M,LogN/LogM,(N*M-N+1)/M,N/M,3,3 Mins
13,Computer Science,CS2,Medium,What all use cases best fit queue data structure? a. To handle the hardware or real-time system interrupts b. For checking the correctness of a balanced parentheses c. For checking the syntax during Compilation d. To transfer/process data/tasks in batches,"a,d",A,"a,d","b,c,d","c,d","a,b,d",3,3 Mins
14,Computer Science,CS3,Medium,Jump Search involves skipping ahead by fixed steps to find the target. How can you optimize or improve the efficiency of Jump Search for a large dataset?,Use dynamic or adaptive jump sizes based on the data distribution,C,Increase the jump size significantly,Decrease the jump size based on the dataset size,Use dynamic or adaptive jump sizes based on the data distribution,Switch to Linear Search instead,3,3 Mins
15,Computer Science,CS4,Medium,"Consider a graph with n vertices where each edge has different weights. If you need to find the shortest path from a source to all other nodes, why would Breadth-First Search (BFS) be preferred over Dijkstra's algorithm(to find the shortest path using priority queue) in this case?",Dijkstra’s algorithm will be preferred here rather than BFS because BFS will give incorrect result,D,BFS has a lower time complexity for graphs with non-uniform edge weights,BFS can handle graphs with both positive & negative edge weights,BFS guarantees finding the shortest path in weighted graphs,Dijkstra’s algorithm will be preferred here rather than BFS because BFS will give incorrect result,3,3 Mins
16,Computer Science,CS5,Medium,"You want to find the minimum number of coins needed to make a given amount. Complete the missing line. def func(coins, amount): dp = [float('inf')] * (amount + 1) dp[0] = 0 for coin in coins: for x in range(coin, amount + 1): __________________________ return dp[amount] if dp[amount] != float('inf') else -1 What should fill the blank? ","dp[x] = min(dp[x], dp[x - coin] + 1)",B,"dp[x] = min(dp[x], dp[x + coin] + 1)","dp[x] = min(dp[x], dp[x - coin] + 1)","dp[x] = min(dp[x], dp[x - coin] - 1)","dp[x] = min(dp[x], dp[x - coin] + coin)",3,3 Mins
